32094,OOOOOOOOOOOOOOOO
28871,IOOOOOOOIOOOOOOO
26700,IOOOOOOOOOOOOOOO
23546,IOOOIOOOIOOOIOOO
11952,IOOOIOOOOOOOIOOO
10289,OOOOOOOOIOOOOOOO
8978,IOOOOOOOIOOOIOOO
8200,IOOOIOOOIOOOOOOO
7311,IOOOIOOOOOOOOOOO
7147,IOOOOOOOOOOOIOOO
6915,IOIOIOIOIOIOIOIO
5359,OOOOIOOOIOOOIOOO
5327,OOOOOIOOOOOOOOOO
5307,IOOOOOOOOOOIOOOO
4782,OOOOIOOOOOOOOOOO
4679,IOOOOIOOOOOOOOOO
4209,OOOOOOOOOOOOIOOO
4038,OOOOOOOOOOOIOOOO
4010,OOOOOOIOOOOOOOOO
3949,OOOOIOOOOOOOIOOO
3943,IOOOOOIOIOOOOOIO
3901,IOOOOOOOOOIOOOOO
3854,IOOOOOIOOOOOOOOO
3658,IOIOOOIOIOOOIOOO
3601,OOOOIOOOIOOOOOOO
3540,OIOOOOOOOOOOOOOO
3488,OOOOOOOOOOIOOOOO
3424,IOOOOIOOIOOOOIOO
3415,OOOOOOOIOOOOOOOO
3320,OOOOOOOOIOOOIOOO
3301,IOOOOIOOOOOIOOOO
3261,IOOOOOIOOOOIOOOO
3117,IOOOOIOOOOIOOOOO
2918,OOOOOOOOOOOOOIOO
2847,OOOOOOOOOOOOOOOI
2803,OOOIOOOOOOOOOOOO
2661,OOOOOOOOOIOOOOOO
2632,OIOOOOOOOIOOOOOO
2561,IOIOIOIOIOIOOOIO
2560,IOOOOOOOOOOOOIOO
2469,IOOOIOIOIOIOIOIO
2419,IOOOIOOOIOIOOOOO
2401,IOOOIOOOIOIOOOIO
2367,OOOOOOOOOOOOOOIO
2314,OOOOOOOIOOOOOOOI
2274,IOOOOOOOIOOOOOIO
2191,IOOOIOIOOOIOIOOO
2190,IOIOOOIOOOOOOOOO
2172,IOOOOOIOIOOOOOOO
2108,IOOOOOOOIOOOOIOO
2101,IOIOOOIOIOIOIOIO
2098,IOIOIOIOOOIOIOOO
1988,IOOOOIOOIOOOOOOO
1930,IOOOOOIOOOOOIOOO
1918,IOIOIOIOIOIOIOOO
1899,IOOOOOOIOOOOOOOO
1892,IOOOOOOOOIOOOOOO
1884,OOOOOIOOOOIOOOOO
1881,IOOOOOOOOOOOOOIO
1870,OOIOOOOOOOOOOOOO
1832,IOOOOIOOOOOOOIOO
1822,IOOIIOOIIOOIIOOI
1815,IOOIOOOOIOOIOOOO
1767,OOOOOOIOOOOIOOOO
1744,IOIOOOIOOOOOIOOO
1737,IOIOIOIOOOIOIOIO
1700,IOOIOOOOOOOOOOOO
1693,IOOOIOIOIOIOOOIO
1653,IOIOOOIOIOOOIOIO
1650,IOOOIOOOIOOOIOIO
1612,IOOOIOIOOOOOIOOO
1589,OOOOOIOOOOOIOOOO
1568,IOIOIOOOIOOOIOOO
1561,OOOOOIOOOOOOOIOO
1548,IOOOIOIOOOIOIOIO
1529,IOIOOOIOIOIOIOOO
